component_1,table_type,component_2,component_3,component_4,component_5,value,component_6,component_7,component_8
REG1,COM_UNIT,INDOIL,PJ,,,,,,
REG1,COM_UNIT,KER,PJ,,,,,,
REG1,COM_UNIT,LPG,PJ,,,,,,
REG1,COM_UNIT,NAP,PJ,,,,,,
REG1,COM_UNIT,NUC,PJ,,,,,,
REG1,COM_UNIT,OIL,PJ,,,,,,
REG1,COM_UNIT,OPP,PJ,,,,,,
REG1,COM_UNIT,RSDBIO,PJ,,,,,,
REG1,COM_UNIT,RSDCO2,kt,,,,,,
REG1,COM_UNIT,RSDCOA,PJ,,,,,,
REG1,COM_UNIT,RSDELC,PJ,,,,,,
REG1,COM_UNIT,RSDGAS,PJ,,,,,,
REG1,COM_UNIT,RSDOIL,PJ,,,,,,
REG1,COM_UNIT,RSDSOL,PJ,,,,,,
REG1,COM_UNIT,SOL,PJ,,,,,,
REG1,COM_UNIT,TRABIO,PJ,,,,,,
REG1,COM_UNIT,TRACO2,kt,,,,,,
REG1,COM_UNIT,TRADSL,PJ,,,,,,
REG1,COM_UNIT,TRAELC,PJ,,,,,,
REG1,COM_UNIT,TRAGAS,PJ,,,,,,
REG1,COM_UNIT,TRAGSL,PJ,,,,,,
REG1,COM_UNIT,TRALPG,PJ,,,,,,
REG1,COM_UNIT,WIN,PJ,,,,,,
REG2,COM_UNIT,AGRBIO,PJ,,,,,,
REG2,COM_UNIT,AGRCO2,kt,,,,,,
REG2,COM_UNIT,AGRCOA,PJ,,,,,,
REG2,COM_UNIT,AGRELC,PJ,,,,,,
REG2,COM_UNIT,AGRGAS,PJ,,,,,,
REG2,COM_UNIT,AGROIL,PJ,,,,,,
REG2,COM_UNIT,BIO,PJ,,,,,,
REG2,COM_UNIT,COA,PJ,,,,,,
REG2,COM_UNIT,COMBIO,PJ,,,,,,
REG2,COM_UNIT,COMCO2,kt,,,,,,
REG2,COM_UNIT,COMCOA,PJ,,,,,,
REG2,COM_UNIT,COMELC,PJ,,,,,,
REG2,COM_UNIT,COMGAS,PJ,,,,,,
REG2,COM_UNIT,COMOIL,PJ,,,,,,
REG2,COM_UNIT,COMSOL,PJ,,,,,,
REG2,COM_UNIT,DAOT,PJ,,,,,,
REG2,COM_UNIT,DCAP,PJ,,,,,,
REG2,COM_UNIT,DCOT,PJ,,,,,,
REG2,COM_UNIT,DCSH,PJ,,,,,,
REG2,COM_UNIT,DIDM1,PJ,,,,,,
REG2,COM_UNIT,DRAP,PJ,,,,,,
REG2,COM_UNIT,DROT,PJ,,,,,,
REG2,COM_UNIT,DRSH,PJ,,,,,,
REG2,COM_UNIT,DSL,PJ,,,,,,
REG2,COM_UNIT,DTCAR,BPkm,,,,,,
REG2,COM_UNIT,DTPUB,BPkm,,,,,,
REG2,COM_UNIT,ELC,PJ,,,,,,
REG2,COM_UNIT,ELCBIO,PJ,,,,,,
REG2,COM_UNIT,ELCCO2,kt,,,,,,
REG2,COM_UNIT,ELCCOA,PJ,,,,,,
REG2,COM_UNIT,ELCGAS,PJ,,,,,,
REG2,COM_UNIT,ELCHYD,PJ,,,,,,
REG2,COM_UNIT,ELCNUC,PJ,,,,,,
REG2,COM_UNIT,ELCOIL,PJ,,,,,,
REG2,COM_UNIT,ELCSOL,PJ,,,,,,
REG2,COM_UNIT,ELCWIN,PJ,,,,,,
REG2,COM_UNIT,GAS,PJ,,,,,,
REG2,COM_UNIT,GSL,PJ,,,,,,
REG2,COM_UNIT,HFO,PJ,,,,,,
REG2,COM_UNIT,HYD,PJ,,,,,,
REG2,COM_UNIT,INDBIO,PJ,,,,,,
REG2,COM_UNIT,INDCO2,kt,,,,,,
REG2,COM_UNIT,INDCOA,PJ,,,,,,
REG2,COM_UNIT,INDELC,PJ,,,,,,
REG2,COM_UNIT,INDGAS,PJ,,,,,,
REG2,COM_UNIT,INDOIL,PJ,,,,,,
REG2,COM_UNIT,KER,PJ,,,,,,
REG2,COM_UNIT,LPG,PJ,,,,,,
REG2,COM_UNIT,NAP,PJ,,,,,,
REG2,COM_UNIT,NUC,PJ,,,,,,
REG2,COM_UNIT,OIL,PJ,,,,,,
REG2,COM_UNIT,OPP,PJ,,,,,,
REG2,COM_UNIT,RSDBIO,PJ,,,,,,
REG2,COM_UNIT,RSDCO2,kt,,,,,,
REG2,COM_UNIT,RSDCOA,PJ,,,,,,
REG2,COM_UNIT,RSDELC,PJ,,,,,,
REG2,COM_UNIT,RSDGAS,PJ,,,,,,
REG2,COM_UNIT,RSDOIL,PJ,,,,,,
REG2,COM_UNIT,RSDSOL,PJ,,,,,,
REG2,COM_UNIT,SOL,PJ,,,,,,
REG2,COM_UNIT,TRABIO,PJ,,,,,,
REG2,COM_UNIT,TRACO2,kt,,,,,,
REG2,COM_UNIT,TRADSL,PJ,,,,,,
REG2,COM_UNIT,TRAELC,PJ,,,,,,
REG2,COM_UNIT,TRAGAS,PJ,,,,,,
REG2,COM_UNIT,TRAGSL,PJ,,,,,,
REG2,COM_UNIT,TRALPG,PJ,,,,,,
REG2,COM_UNIT,WIN,PJ,,,,,,
AOTETOT,PRC,,,,,,,,
CAPEELC,PRC,,,,,,,,
COTEBIO,PRC,,,,,,,,
COTECOA,PRC,,,,,,,,
COTEELC,PRC,,,,,,,,
COTEGAS,PRC,,,,,,,,
COTEOIL,PRC,,,,,,,,
CSHEBIO,PRC,,,,,,,,
CSHECOA,PRC,,,,,,,,
CSHEELC,PRC,,,,,,,,
CSHEGAS,PRC,,,,,,,,
CSHEOIL,PRC,,,,,,,,
CSHESOL,PRC,,,,,,,,
ELCNENUC00,PRC,,,,,,,,
ELCREBIO00,PRC,,,,,,,,
ELCREHYD00,PRC,,,,,,,,
ELCRESOL00,PRC,,,,,,,,
ELCREWIN00,PRC,,,,,,,,
ELCTECOA00,PRC,,,,,,,,
ELCTEGAS00,PRC,,,,,,,,
ELCTEOIL00,PRC,,,,,,,,
EXPCOA1,PRC,,,,,,,,
EXPDSL1,PRC,,,,,,,,
EXPELC1,PRC,,,,,,,,
EXPGAS1,PRC,,,,,,,,
EXPGSL1,PRC,,,,,,,,
EXPHFO1,PRC,,,,,,,,
EXPKER1,PRC,,,,,,,,
EXPLPG1,PRC,,,,,,,,
EXPNAP1,PRC,,,,,,,,
EXPOIL1,PRC,,,,,,,,
EXPOPP1,PRC,,,,,,,,
FTE-AGRBIO,PRC,,,,,,,,
FTE-AGRCOA,PRC,,,,,,,,
FTE-AGRELC,PRC,,,,,,,,
FTE-AGRGAS,PRC,,,,,,,,
FTE-AGROIL,PRC,,,,,,,,
FTE-COMBIO,PRC,,,,,,,,
FTE-COMCOA,PRC,,,,,,,,
FTE-COMELC,PRC,,,,,,,,
FTE-COMGAS,PRC,,,,,,,,
FTE-COMOIL,PRC,,,,,,,,
FTE-COMSOL,PRC,,,,,,,,
FTE-ELCBIO,PRC,,,,,,,,
FTE-ELCCOA,PRC,,,,,,,,
FTE-ELCGAS,PRC,,,,,,,,
FTE-ELCHYD,PRC,,,,,,,,
FTE-ELCNUC,PRC,,,,,,,,
FTE-ELCOIL,PRC,,,,,,,,
FTE-ELCSOL,PRC,,,,,,,,
FTE-ELCWIN,PRC,,,,,,,,
FTE-INDBIO,PRC,,,,,,,,
FTE-INDCOA,PRC,,,,,,,,
FTE-INDELC,PRC,,,,,,,,
FTE-INDGAS,PRC,,,,,,,,
FTE-INDOIL,PRC,,,,,,,,
FTE-RSDBIO,PRC,,,,,,,,
FTE-RSDCOA,PRC,,,,,,,,
FTE-RSDELC,PRC,,,,,,,,
FTE-RSDGAS,PRC,,,,,,,,
FTE-RSDOIL,PRC,,,,,,,,
FTE-RSDSOL,PRC,,,,,,,,
FTE-TRABIO,PRC,,,,,,,,
FTE-TRADSL,PRC,,,,,,,,
FTE-TRAELC,PRC,,,,,,,,
FTE-TRAGAS,PRC,,,,,,,,
FTE-TRAGSL,PRC,,,,,,,,
FTE-TRALPG,PRC,,,,,,,,
IDM1ETOT,PRC,,,,,,,,
IMPCOA1,PRC,,,,,,,,
IMPDEMZ,PRC,,,,,,,,
IMPDSL1,PRC,,,,,,,,
IMPELC1,PRC,,,,,,,,
IMPGAS1,PRC,,,,,,,,
IMPGSL1,PRC,,,,,,,,
IMPHFO1,PRC,,,,,,,,
IMPKER1,PRC,,,,,,,,
IMPLPG1,PRC,,,,,,,,
IMPMATZ,PRC,,,,,,,,
IMPNAP1,PRC,,,,,,,,
IMPNRGZ,PRC,,,,,,,,
IMPOIL1,PRC,,,,,,,,
IMPOPP1,PRC,,,,,,,,
MINBIO1,PRC,,,,,,,,
MINCOA1,PRC,,,,,,,,
MINCOA2,PRC,,,,,,,,
MINCOA3,PRC,,,,,,,,
MINGAS1,PRC,,,,,,,,
MINGAS2,PRC,,,,,,,,
MINGAS3,PRC,,,,,,,,
MINHYD1,PRC,,,,,,,,
MINNUC1,PRC,,,,,,,,
MINOIL1,PRC,,,,,,,,
MINOIL2,PRC,,,,,,,,
MINOIL3,PRC,,,,,,,,
MINSOL1,PRC,,,,,,,,
MINWIN1,PRC,,,,,,,,
RAPEELC,PRC,,,,,,,,
REFEOIL00,PRC,,,,,,,,
ROTEBIO,PRC,,,,,,,,
ROTECOA,PRC,,,,,,,,
ROTEELC,PRC,,,,,,,,
ROTEGAS,PRC,,,,,,,,
ROTEOIL,PRC,,,,,,,,
RSHEBIO,PRC,,,,,,,,
RSHECOA,PRC,,,,,,,,
RSHEELC,PRC,,,,,,,,
RSHEGAS,PRC,,,,,,,,
RSHEOIL,PRC,,,,,,,,
RSHESOL,PRC,,,,,,,,
TB_ELC_REG1_REG2_01,PRC,,,,,,,,
TCAREBIO,PRC,,,,,,,,
TCAREDSL,PRC,,,,,,,,
TCAREELC,PRC,,,,,,,,
TCAREGAS,PRC,,,,,,,,
TCAREGSL,PRC,,,,,,,,
TCARELPG,PRC,,,,,,,,
TPUBEBIO,PRC,,,,,,,,
TPUBEDSL,PRC,,,,,,,,
TPUBEELC,PRC,,,,,,,,
TPUBEGAS,PRC,,,,,,,,
TPUBEGSL,PRC,,,,,,,,
TPUBELPG,PRC,,,,,,,,
TU_GAS_REG2_REG1_01,PRC,,,,,,,,
REG1,PRC_MAP,DMD,AOTETOT,,,,,,
REG1,PRC_MAP,DMD,CAPEELC,,,,,,
REG1,PRC_MAP,DMD,COTEBIO,,,,,,
REG1,PRC_MAP,DMD,COTECOA,,,,,,
REG1,PRC_MAP,DMD,COTEELC,,,,,,
REG1,PRC_MAP,DMD,COTEGAS,,,,,,
REG1,PRC_MAP,DMD,COTEOIL,,,,,,
REG1,PRC_MAP,DMD,CSHEBIO,,,,,,
REG1,PRC_MAP,DMD,CSHECOA,,,,,,
REG1,PRC_MAP,DMD,CSHEELC,,,,,,
REG1,PRC_MAP,DMD,CSHEGAS,,,,,,
REG1,PRC_MAP,DMD,CSHEOIL,,,,,,
REG1,PRC_MAP,DMD,CSHESOL,,,,,,
REG1,PRC_MAP,DMD,IDM1ETOT,,,,,,
REG1,PRC_MAP,DMD,RAPEELC,,,,,,
REG1,PRC_MAP,DMD,ROTEBIO,,,,,,
REG1,PRC_MAP,DMD,ROTECOA,,,,,,
REG1,PRC_MAP,DMD,ROTEELC,,,,,,
REG1,PRC_MAP,DMD,ROTEGAS,,,,,,
REG1,PRC_MAP,DMD,ROTEOIL,,,,,,
REG1,PRC_MAP,DMD,RSHEBIO,,,,,,
REG1,PRC_MAP,DMD,RSHECOA,,,,,,
REG1,PRC_MAP,DMD,RSHEELC,,,,,,
REG1,PRC_MAP,DMD,RSHEGAS,,,,,,
REG1,PRC_MAP,DMD,RSHEOIL,,,,,,
REG1,PRC_MAP,DMD,RSHESOL,,,,,,
REG1,PRC_MAP,DMD,TCAREBIO,,,,,,
REG1,PRC_MAP,DMD,TCAREDSL,,,,,,
REG1,PRC_MAP,DMD,TCAREELC,,,,,,
REG1,PRC_MAP,DMD,TCAREGAS,,,,,,
REG1,PRC_MAP,DMD,TCAREGSL,,,,,,
REG1,PRC_MAP,DMD,TCARELPG,,,,,,
REG1,PRC_MAP,DMD,TPUBEBIO,,,,,,
REG1,PRC_MAP,DMD,TPUBEDSL,,,,,,
REG1,PRC_MAP,DMD,TPUBEELC,,,,,,
REG1,PRC_MAP,DMD,TPUBEGAS,,,,,,
REG1,PRC_MAP,DMD,TPUBEGSL,,,,,,
REG1,PRC_MAP,DMD,TPUBELPG,,,,,,
REG1,PRC_MAP,ELE,ELCNENUC00,,,,,,
REG1,PRC_MAP,ELE,ELCREBIO00,,,,,,
REG1,PRC_MAP,ELE,ELCREHYD00,,,,,,
REG1,PRC_MAP,ELE,ELCRESOL00,,,,,,
REG1,PRC_MAP,ELE,ELCREWIN00,,,,,,
REG1,PRC_MAP,ELE,ELCTECOA00,,,,,,
REG1,PRC_MAP,ELE,ELCTEGAS00,,,,,,
REG1,PRC_MAP,ELE,ELCTEOIL00,,,,,,
REG1,PRC_MAP,IRE,EXPCOA1,,,,,,
REG1,PRC_MAP,IRE,EXPDSL1,,,,,,
REG1,PRC_MAP,IRE,EXPELC1,,,,,,
REG1,PRC_MAP,IRE,EXPGAS1,,,,,,
REG1,PRC_MAP,IRE,EXPGSL1,,,,,,
REG1,PRC_MAP,IRE,EXPHFO1,,,,,,
REG1,PRC_MAP,IRE,EXPKER1,,,,,,
REG1,PRC_MAP,IRE,EXPLPG1,,,,,,
REG1,PRC_MAP,IRE,EXPNAP1,,,,,,
REG1,PRC_MAP,IRE,EXPOIL1,,,,,,
REG1,PRC_MAP,IRE,EXPOPP1,,,,,,
REG1,PRC_MAP,IRE,IMPCOA1,,,,,,
REG1,PRC_MAP,IRE,IMPDEMZ,,,,,,
REG1,PRC_MAP,IRE,IMPDSL1,,,,,,
REG1,PRC_MAP,IRE,IMPELC1,,,,,,
REG1,PRC_MAP,IRE,IMPGAS1,,,,,,
REG1,PRC_MAP,IRE,IMPGSL1,,,,,,
REG1,PRC_MAP,IRE,IMPHFO1,,,,,,
REG1,PRC_MAP,IRE,IMPKER1,,,,,,
REG1,PRC_MAP,IRE,IMPLPG1,,,,,,
REG1,PRC_MAP,IRE,IMPMATZ,,,,,,
REG1,PRC_MAP,IRE,IMPNAP1,,,,,,
REG1,PRC_MAP,IRE,IMPNRGZ,,,,,,
REG1,PRC_MAP,IRE,IMPOIL1,,,,,,
REG1,PRC_MAP,IRE,IMPOPP1,,,,,,
REG1,PRC_MAP,IRE,MINBIO1,,,,,,
REG1,PRC_MAP,IRE,MINCOA1,,,,,,
REG1,PRC_MAP,IRE,MINCOA2,,,,,,
REG1,PRC_MAP,IRE,MINCOA3,,,,,,
REG1,PRC_MAP,IRE,MINGAS1,,,,,,
REG1,PRC_MAP,IRE,MINGAS2,,,,,,
REG1,PRC_MAP,IRE,MINGAS3,,,,,,
REG1,PRC_MAP,IRE,MINHYD1,,,,,,
REG1,PRC_MAP,IRE,MINNUC1,,,,,,
REG1,PRC_MAP,IRE,MINOIL1,,,,,,
REG1,PRC_MAP,IRE,MINOIL2,,,,,,
REG1,PRC_MAP,IRE,MINOIL3,,,,,,
REG1,PRC_MAP,IRE,MINSOL1,,,,,,
REG1,PRC_MAP,IRE,MINWIN1,,,,,,
REG1,PRC_MAP,IRE,TB_ELC_REG1_REG2_01,,,,,,
REG1,PRC_MAP,IRE,TU_GAS_REG2_REG1_01,,,,,,
REG1,PRC_MAP,PRE,FTE-AGRBIO,,,,,,
REG1,PRC_MAP,PRE,FTE-AGRCOA,,,,,,
REG1,PRC_MAP,PRE,FTE-AGRELC,,,,,,
REG1,PRC_MAP,PRE,FTE-AGRGAS,,,,,,
REG1,PRC_MAP,PRE,FTE-AGROIL,,,,,,
REG1,PRC_MAP,PRE,FTE-COMBIO,,,,,,
REG1,PRC_MAP,PRE,FTE-COMCOA,,,,,,
REG1,PRC_MAP,PRE,FTE-COMELC,,,,,,
REG1,PRC_MAP,PRE,FTE-COMGAS,,,,,,
REG1,PRC_MAP,PRE,FTE-COMOIL,,,,,,
REG1,PRC_MAP,PRE,FTE-COMSOL,,,,,,
REG1,PRC_MAP,PRE,FTE-ELCBIO,,,,,,
REG1,PRC_MAP,PRE,FTE-ELCCOA,,,,,,
REG1,PRC_MAP,PRE,FTE-ELCGAS,,,,,,
REG1,PRC_MAP,PRE,FTE-ELCHYD,,,,,,
REG1,PRC_MAP,PRE,FTE-ELCNUC,,,,,,
REG1,PRC_MAP,PRE,FTE-ELCOIL,,,,,,
REG1,PRC_MAP,PRE,FTE-ELCSOL,,,,,,
REG1,PRC_MAP,PRE,FTE-ELCWIN,,,,,,
REG1,PRC_MAP,PRE,FTE-INDBIO,,,,,,
REG1,PRC_MAP,PRE,FTE-INDCOA,,,,,,
REG1,PRC_MAP,PRE,FTE-INDELC,,,,,,
REG1,PRC_MAP,PRE,FTE-INDGAS,,,,,,
REG1,PRC_MAP,PRE,FTE-INDOIL,,,,,,
REG1,PRC_MAP,PRE,FTE-RSDBIO,,,,,,
REG1,PRC_MAP,PRE,FTE-RSDCOA,,,,,,
REG1,PRC_MAP,PRE,FTE-RSDELC,,,,,,
REG1,PRC_MAP,PRE,FTE-RSDGAS,,,,,,
REG1,PRC_MAP,PRE,FTE-RSDOIL,,,,,,
REG1,PRC_MAP,PRE,FTE-RSDSOL,,,,,,
REG1,PRC_MAP,PRE,FTE-TRABIO,,,,,,
REG1,PRC_MAP,PRE,FTE-TRADSL,,,,,,
REG1,PRC_MAP,PRE,FTE-TRAELC,,,,,,
REG1,PRC_MAP,PRE,FTE-TRAGAS,,,,,,
REG1,PRC_MAP,PRE,FTE-TRAGSL,,,,,,
REG1,PRC_MAP,PRE,FTE-TRALPG,,,,,,
REG1,PRC_MAP,PRE,REFEOIL00,,,,,,
REG2,PRC_MAP,DMD,AOTETOT,,,,,,
REG2,PRC_MAP,DMD,CAPEELC,,,,,,
REG2,PRC_MAP,DMD,COTEBIO,,,,,,
REG2,PRC_MAP,DMD,COTECOA,,,,,,
REG2,PRC_MAP,DMD,COTEELC,,,,,,
REG2,PRC_MAP,DMD,COTEGAS,,,,,,
REG2,PRC_MAP,DMD,COTEOIL,,,,,,
REG2,PRC_MAP,DMD,CSHEBIO,,,,,,
REG2,PRC_MAP,DMD,CSHECOA,,,,,,
REG2,PRC_MAP,DMD,CSHEELC,,,,,,
REG2,PRC_MAP,DMD,CSHEGAS,,,,,,
REG2,PRC_MAP,DMD,CSHEOIL,,,,,,
REG2,PRC_MAP,DMD,CSHESOL,,,,,,
REG2,PRC_MAP,DMD,IDM1ETOT,,,,,,
REG2,PRC_MAP,DMD,RAPEELC,,,,,,
REG2,PRC_MAP,DMD,ROTEBIO,,,,,,
REG2,PRC_MAP,DMD,ROTECOA,,,,,,
REG2,PRC_MAP,DMD,ROTEELC,,,,,,
REG2,PRC_MAP,DMD,ROTEGAS,,,,,,
REG2,PRC_MAP,DMD,ROTEOIL,,,,,,
REG2,PRC_MAP,DMD,RSHEBIO,,,,,,
REG2,PRC_MAP,DMD,RSHECOA,,,,,,
REG2,PRC_MAP,DMD,RSHEELC,,,,,,
REG2,PRC_MAP,DMD,RSHEGAS,,,,,,
REG2,PRC_MAP,DMD,RSHEOIL,,,,,,
REG2,PRC_MAP,DMD,RSHESOL,,,,,,
REG2,PRC_MAP,DMD,TCAREBIO,,,,,,
REG2,PRC_MAP,DMD,TCAREDSL,,,,,,
REG2,PRC_MAP,DMD,TCAREELC,,,,,,
REG2,PRC_MAP,DMD,TCAREGAS,,,,,,
REG2,PRC_MAP,DMD,TCAREGSL,,,,,,
REG2,PRC_MAP,DMD,TCARELPG,,,,,,
REG2,PRC_MAP,DMD,TPUBEBIO,,,,,,
REG2,PRC_MAP,DMD,TPUBEDSL,,,,,,
REG2,PRC_MAP,DMD,TPUBEELC,,,,,,
REG2,PRC_MAP,DMD,TPUBEGAS,,,,,,
REG2,PRC_MAP,DMD,TPUBEGSL,,,,,,
REG2,PRC_MAP,DMD,TPUBELPG,,,,,,
REG2,PRC_MAP,ELE,ELCNENUC00,,,,,,
REG2,PRC_MAP,ELE,ELCREBIO00,,,,,,
REG2,PRC_MAP,ELE,ELCREHYD00,,,,,,
REG2,PRC_MAP,ELE,ELCRESOL00,,,,,,
REG2,PRC_MAP,ELE,ELCREWIN00,,,,,,
REG2,PRC_MAP,ELE,ELCTECOA00,,,,,,
REG2,PRC_MAP,ELE,ELCTEGAS00,,,,,,
REG2,PRC_MAP,ELE,ELCTEOIL00,,,,,,
REG2,PRC_MAP,IRE,EXPCOA1,,,,,,
REG2,PRC_MAP,IRE,EXPDSL1,,,,,,
REG2,PRC_MAP,IRE,EXPELC1,,,,,,
REG2,PRC_MAP,IRE,EXPGAS1,,,,,,
REG2,PRC_MAP,IRE,EXPGSL1,,,,,,
REG2,PRC_MAP,IRE,EXPHFO1,,,,,,
REG2,PRC_MAP,IRE,EXPKER1,,,,,,
REG2,PRC_MAP,IRE,EXPLPG1,,,,,,
REG2,PRC_MAP,IRE,EXPNAP1,,,,,,
REG2,PRC_MAP,IRE,EXPOIL1,,,,,,
REG2,PRC_MAP,IRE,EXPOPP1,,,,,,
REG2,PRC_MAP,IRE,IMPCOA1,,,,,,
REG2,PRC_MAP,IRE,IMPDEMZ,,,,,,
REG2,PRC_MAP,IRE,IMPDSL1,,,,,,
REG2,PRC_MAP,IRE,IMPELC1,,,,,,
REG2,PRC_MAP,IRE,IMPGAS1,,,,,,
REG2,PRC_MAP,IRE,IMPGSL1,,,,,,
REG2,PRC_MAP,IRE,IMPHFO1,,,,,,
REG2,PRC_MAP,IRE,IMPKER1,,,,,,
REG2,PRC_MAP,IRE,IMPLPG1,,,,,,
REG2,PRC_MAP,IRE,IMPMATZ,,,,,,
REG2,PRC_MAP,IRE,IMPNAP1,,,,,,
REG2,PRC_MAP,IRE,IMPNRGZ,,,,,,
REG2,PRC_MAP,IRE,IMPOIL1,,,,,,
REG2,PRC_MAP,IRE,IMPOPP1,,,,,,
REG2,PRC_MAP,IRE,MINBIO1,,,,,,
REG2,PRC_MAP,IRE,MINCOA1,,,,,,
REG2,PRC_MAP,IRE,MINCOA2,,,,,,
REG2,PRC_MAP,IRE,MINCOA3,,,,,,
REG2,PRC_MAP,IRE,MINGAS1,,,,,,
REG2,PRC_MAP,IRE,MINGAS2,,,,,,
REG2,PRC_MAP,IRE,MINGAS3,,,,,,
REG2,PRC_MAP,IRE,MINHYD1,,,,,,
REG2,PRC_MAP,IRE,MINNUC1,,,,,,
REG2,PRC_MAP,IRE,MINOIL1,,,,,,
REG2,PRC_MAP,IRE,MINOIL2,,,,,,
REG2,PRC_MAP,IRE,MINOIL3,,,,,,
REG2,PRC_MAP,IRE,MINSOL1,,,,,,
REG2,PRC_MAP,IRE,MINWIN1,,,,,,
REG2,PRC_MAP,IRE,TB_ELC_REG1_REG2_01,,,,,,
REG2,PRC_MAP,IRE,TU_GAS_REG2_REG1_01,,,,,,
REG2,PRC_MAP,PRE,FTE-AGRBIO,,,,,,
REG2,PRC_MAP,PRE,FTE-AGRCOA,,,,,,
REG2,PRC_MAP,PRE,FTE-AGRELC,,,,,,
REG2,PRC_MAP,PRE,FTE-AGRGAS,,,,,,
REG2,PRC_MAP,PRE,FTE-AGROIL,,,,,,
REG2,PRC_MAP,PRE,FTE-COMBIO,,,,,,
REG2,PRC_MAP,PRE,FTE-COMCOA,,,,,,
REG2,PRC_MAP,PRE,FTE-COMELC,,,,,,
REG2,PRC_MAP,PRE,FTE-COMGAS,,,,,,
REG2,PRC_MAP,PRE,FTE-COMOIL,,,,,,
REG2,PRC_MAP,PRE,FTE-COMSOL,,,,,,
REG2,PRC_MAP,PRE,FTE-ELCBIO,,,,,,
REG2,PRC_MAP,PRE,FTE-ELCCOA,,,,,,
REG2,PRC_MAP,PRE,FTE-ELCGAS,,,,,,
REG2,PRC_MAP,PRE,FTE-ELCHYD,,,,,,
REG2,PRC_MAP,PRE,FTE-ELCNUC,,,,,,
REG2,PRC_MAP,PRE,FTE-ELCOIL,,,,,,
REG2,PRC_MAP,PRE,FTE-ELCSOL,,,,,,
REG2,PRC_MAP,PRE,FTE-ELCWIN,,,,,,
REG2,PRC_MAP,PRE,FTE-INDBIO,,,,,,
REG2,PRC_MAP,PRE,FTE-INDCOA,,,,,,
REG2,PRC_MAP,PRE,FTE-INDELC,,,,,,
REG2,PRC_MAP,PRE,FTE-INDGAS,,,,,,
REG2,PRC_MAP,PRE,FTE-INDOIL,,,,,,
REG2,PRC_MAP,PRE,FTE-RSDBIO,,,,,,
REG2,PRC_MAP,PRE,FTE-RSDCOA,,,,,,
REG2,PRC_MAP,PRE,FTE-RSDELC,,,,,,
REG2,PRC_MAP,PRE,FTE-RSDGAS,,,,,,
REG2,PRC_MAP,PRE,FTE-RSDOIL,,,,,,
REG2,PRC_MAP,PRE,FTE-RSDSOL,,,,,,
REG2,PRC_MAP,PRE,FTE-TRABIO,,,,,,
REG2,PRC_MAP,PRE,FTE-TRADSL,,,,,,
REG2,PRC_MAP,PRE,FTE-TRAELC,,,,,,
REG2,PRC_MAP,PRE,FTE-TRAGAS,,,,,,
REG2,PRC_MAP,PRE,FTE-TRAGSL,,,,,,
REG2,PRC_MAP,PRE,FTE-TRALPG,,,,,,
REG2,PRC_MAP,PRE,REFEOIL00,,,,,,
REG1,PRC_TSL,AOTETOT,ANNUAL,,,,,,
REG1,PRC_TSL,CAPEELC,ANNUAL,,,,,,
REG1,PRC_TSL,COTEBIO,ANNUAL,,,,,,
REG1,PRC_TSL,COTECOA,ANNUAL,,,,,,
REG1,PRC_TSL,COTEELC,ANNUAL,,,,,,
REG1,PRC_TSL,COTEGAS,ANNUAL,,,,,,
REG1,PRC_TSL,COTEOIL,ANNUAL,,,,,,
REG1,PRC_TSL,CSHEBIO,ANNUAL,,,,,,
REG1,PRC_TSL,CSHECOA,ANNUAL,,,,,,
REG1,PRC_TSL,CSHEELC,ANNUAL,,,,,,
REG1,PRC_TSL,CSHEGAS,ANNUAL,,,,,,
REG1,PRC_TSL,CSHEOIL,ANNUAL,,,,,,
REG1,PRC_TSL,CSHESOL,ANNUAL,,,,,,
REG1,PRC_TSL,ELCNENUC00,SEASON,,,,,,
REG1,PRC_TSL,ELCREBIO00,DAYNITE,,,,,,
REG1,PRC_TSL,ELCREHYD00,DAYNITE,,,,,,
REG1,PRC_TSL,ELCRESOL00,DAYNITE,,,,,,
REG1,PRC_TSL,ELCREWIN00,DAYNITE,,,,,,
REG1,PRC_TSL,ELCTECOA00,SEASON,,,,,,
REG1,PRC_TSL,ELCTEGAS00,DAYNITE,,,,,,
REG1,PRC_TSL,ELCTEOIL00,DAYNITE,,,,,,
REG1,PRC_TSL,EXPCOA1,ANNUAL,,,,,,
REG1,PRC_TSL,EXPDSL1,ANNUAL,,,,,,
REG1,PRC_TSL,EXPELC1,DAYNITE,,,,,,
REG1,PRC_TSL,EXPGAS1,ANNUAL,,,,,,
REG1,PRC_TSL,EXPGSL1,ANNUAL,,,,,,
REG1,PRC_TSL,EXPHFO1,ANNUAL,,,,,,
REG1,PRC_TSL,EXPKER1,ANNUAL,,,,,,
REG1,PRC_TSL,EXPLPG1,ANNUAL,,,,,,
REG1,PRC_TSL,EXPNAP1,ANNUAL,,,,,,
REG1,PRC_TSL,EXPOIL1,ANNUAL,,,,,,
REG1,PRC_TSL,EXPOPP1,ANNUAL,,,,,,
REG1,PRC_TSL,FTE-AGRBIO,ANNUAL,,,,,,
REG1,PRC_TSL,FTE-AGRCOA,ANNUAL,,,,,,
REG1,PRC_TSL,FTE-AGRELC,DAYNITE,,,,,,
REG1,PRC_TSL,FTE-AGRGAS,ANNUAL,,,,,,
REG1,PRC_TSL,FTE-AGROIL,ANNUAL,,,,,,
REG1,PRC_TSL,FTE-COMBIO,ANNUAL,,,,,,
