component_1,table_type,component_2,component_3,component_4,component_5,value,component_6
REG1,ACT_EFF,2005,TOTEOIL,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,TOTNOIL,ACT,ANNUAL,1.1,
REG1,COM_PROJ,2005,DROT,,,5159.793,
REG1,COM_PROJ,2005,DTD1,,,14851.249,
REG1,COM_PROJ,2005,TPSCOA,,,3596.806,
REG1,COM_PROJ,2005,TPSELC,,,10422.935,
REG1,COM_PROJ,2006,TPSELC,,,10527.16435,
REG1,COM_PROJ,2010,TPSELC,,,10954.609436539,
REG1,COM_PROJ,2015,TPSELC,,,11513.4046127228,
REG1,COM_PROJ,2020,TPSELC,,,12100.7039588394,
REG1,FLO_EMIS,2005,ELCTECOA00,ACT,ELCCO2,259.895833333333,ANNUAL
REG1,FLO_EMIS,2005,ELCTEGAS00,ACT,ELCCO2,113.816189896531,ANNUAL
REG1,FLO_EMIS,2005,ELCTEOIL00,ACT,ELCCO2,305.6,ANNUAL
REG1,FLO_EMIS,2005,ELCTNCOA00,ACT,ELCCO2,237.619047619048,ANNUAL
REG1,FLO_EMIS,2005,ELCTNGAS00,ACT,ELCCO2,107.884615384615,ANNUAL
REG1,FLO_EMIS,2005,ELCTNOIL00,ACT,ELCCO2,254.666666666667,ANNUAL
REG1,FLO_EMIS,2005,ROTEGAS,ACT,RSDCO2,56.1,ANNUAL
REG1,FLO_EMIS,2005,ROTNGAS,ACT,RSDCO2,46.75,ANNUAL
REG1,FLO_EMIS,2005,TOTEOIL,ACT,TRACO2,65.0,ANNUAL
REG1,FLO_EMIS,2005,TOTNOIL,ACT,TRACO2,59.0909090909091,ANNUAL
REG1,NCAP_AFA,2005,DTPSCOA,UP,,0.95,
REG1,NCAP_AFA,2005,DTPSELC,UP,,0.95,
REG1,NCAP_AFA,2005,ELCRERNW00,UP,,0.45,
REG1,NCAP_AFA,2005,ELCTECOA00,UP,,0.85,
REG1,NCAP_AFA,2005,ELCTEGAS00,UP,,0.85,
REG1,NCAP_AFA,2005,ELCTENUC00,UP,,0.9,
REG1,NCAP_AFA,2005,ELCTEOIL00,UP,,0.85,
REG1,NCAP_AFA,2005,ELCTNCOA00,UP,,0.85,
REG1,NCAP_AFA,2005,ELCTNGAS00,UP,,0.85,
REG1,NCAP_AFA,2005,ELCTNOIL00,UP,,0.85,
REG1,NCAP_AFA,2005,ROTEGAS,UP,,0.95,
REG1,NCAP_AFA,2005,ROTNGAS,UP,,0.95,
REG1,NCAP_AFA,2005,TOTEOIL,UP,,0.9,
REG1,NCAP_AFA,2005,TOTNOIL,UP,,0.9,
REG1,NCAP_COST,2005,DTPSCOA,MEuro05,,10.0,
REG1,NCAP_COST,2005,DTPSELC,MEuro05,,10.0,
REG1,NCAP_COST,2005,ELCTNCOA00,MEuro05,,1650.0,
REG1,NCAP_COST,2005,ELCTNGAS00,MEuro05,,750.0,
REG1,NCAP_COST,2005,ELCTNOIL00,MEuro05,,250.0,
REG1,NCAP_COST,2005,ROTNGAS,MEuro05,,12.0,
REG1,NCAP_COST,2005,TOTNOIL,MEuro05,,10.0,
REG1,NCAP_START,ELCTNCOA00,,,,2006.0,
REG1,NCAP_START,ELCTNGAS00,,,,2006.0,
REG1,NCAP_START,ELCTNOIL00,,,,2006.0,
REG1,NCAP_START,ROTNGAS,,,,2006.0,
REG1,NCAP_START,TOTNOIL,,,,2006.0,
REG1,PRC_CAPACT,ELCRERNW00,,,,31.536,
REG1,PRC_CAPACT,ELCTECOA00,,,,31.536,
REG1,PRC_CAPACT,ELCTEGAS00,,,,31.536,
REG1,PRC_CAPACT,ELCTENUC00,,,,31.536,
REG1,PRC_CAPACT,ELCTEOIL00,,,,31.536,
REG1,PRC_CAPACT,ELCTNCOA00,,,,31.536,
REG1,PRC_CAPACT,ELCTNGAS00,,,,31.536,
REG1,PRC_CAPACT,ELCTNOIL00,,,,31.536,
